Month,Date,Day of the Week,Daily Followers,Accumulated Followers
October,2024-10-24,Thursday,42,
October,2024-10-25,Friday,18,
October,2024-10-26,Saturday,24,
October,2024-10-27,Sunday,29,
October,2024-10-28,Monday,37,
October,2024-10-29,Tuesday,49,
October,2024-10-30,Wednesday,44,
October,2024-10-31,Thursday,25,
November,2024-11-01,Friday,24,
November,2024-11-02,Saturday,23,
November,2024-11-03,Sunday,31,
November,2024-11-04,Monday,13,
November,2024-11-05,Tuesday,15,
November,2024-11-06,Wednesday,12,
November,2024-11-07,Thursday,24,
November,2024-11-08,Friday,25,
November,2024-11-09,Saturday,17,
November,2024-11-10,Sunday,25,
November,2024-11-11,Monday,12,
November,2024-11-12,Tuesday,14,
November,2024-11-13,Wednesday,12,
November,2024-11-14,Thursday,11,
November,2024-11-15,Friday,13,
November,2024-11-16,Saturday,22,
November,2024-11-17,Sunday,24,
November,2024-11-18,Monday,7,
November,2024-11-19,Tuesday,4,
November,2024-11-20,Wednesday,11,
November,2024-11-21,Thursday,12,
November,2024-11-22,Friday,8,
November,2024-11-23,Saturday,10,
November,2024-11-24,Sunday,16,
November,2024-11-25,Monday,7,
November,2024-11-26,Tuesday,10,
November,2024-11-27,Wednesday,0,
November,2024-11-28,Thursday,0,
November,2024-11-29,Friday,0,
